algorithm,n,trial,time_ns,comparisons,array_writes,allocations,maxRecDepth
DeterministicSelect,100,0,5289458,236,149,0,0
DeterministicSelect,100,1,168458,259,174,0,0
DeterministicSelect,100,2,54208,233,160,0,0
DeterministicSelect,1000,0,983792,2504,1526,0,0
DeterministicSelect,1000,1,170541,2513,1542,0,0
DeterministicSelect,1000,2,163542,2601,1569,0,0
DeterministicSelect,5000,0,848542,12499,7631,0,0
DeterministicSelect,5000,1,539333,12780,7643,0,0
DeterministicSelect,5000,2,657958,12299,7388,0,0
DeterministicSelect,10000,0,4387000,24906,14795,0,0
DeterministicSelect,10000,1,1657250,24327,14272,0,0
DeterministicSelect,10000,2,922541,24989,15085,0,0
