algorithm,n,trial,time_ns,comparisons,array_writes,allocations,maxRecDepth
MergeSort,100,0,53459,555,1069,1,5
MergeSort,100,1,49833,570,1092,1,5
MergeSort,100,2,48041,556,1079,1,5
MergeSort,1000,0,655083,9117,17316,1,8
MergeSort,1000,1,190375,9125,17295,1,8
MergeSort,1000,2,146167,9135,17318,1,8
MergeSort,5000,0,921250,58620,109583,1,10
MergeSort,5000,1,899708,58643,109626,1,10
MergeSort,5000,2,893334,58670,109619,1,10
MergeSort,10000,0,2016334,127112,239017,1,11
MergeSort,10000,1,2025708,126988,238961,1,11
MergeSort,10000,2,1958667,127099,239029,1,11
