algorithm,n,trial,time_ns,comparisons,array_writes,allocations,maxRecDepth
QuickSort,100,0,90125,599,304,0,4
QuickSort,100,1,69500,650,291,0,4
QuickSort,100,2,65209,621,320,0,4
QuickSort,1000,0,712292,10759,5152,0,6
QuickSort,1000,1,349750,10780,5274,0,6
QuickSort,1000,2,144708,10731,5274,0,7
QuickSort,5000,0,876959,70936,36681,0,7
QuickSort,5000,1,915584,80096,38332,0,8
QuickSort,5000,2,1600000,69991,35346,0,7
QuickSort,10000,0,665875,171937,92155,0,8
QuickSort,10000,1,857250,149672,72505,0,8
QuickSort,10000,2,754125,164672,84539,0,8
